name,freelance,createdAt,profileName,totalNumberOfFollowing,totalNumberOfFollowers,vizCount,visibleWorkbookCount,lastPublishDate,organization,title,bio,featuredVizRepoUrl,profileUrl,country,state,city
Realtor.com Economics,False,2018-01-01,realtor.com.economics,1,40,486,72,2021-10-22,,,,RDC_Housing_Market_Recovery_Index,https://public.tableau.com/app/profile/realtor.com.economics,United States,California,
Nicole Osorio,False,2018-07-01,nicole.osorio3188,31,3,25,2,2018-09-26,California Department of Water Resources,,,,https://public.tableau.com/app/profile/nicole.osorio3188,United States,California,Davis
UCI Office of Institutional Research,False,2018-04-01,uci.office.of.institutional.research,0,4,120,12,2021-11-12,"University of California, Irvine",,,EnrollmentDashboard_17,https://public.tableau.com/app/profile/uci.office.of.institutional.research,United States,California,Irvine
Institutional  Research at UCSF,False,2015-04-01,ning.wang,0,4,52,1,2021-11-01,"University of California, San Francisco",,,,https://public.tableau.com/app/profile/ning.wang,United States,California,San Francisco
Alison Pitt,False,2020-06-01,alison.pitt,62,49,163,26,2021-09-20,,,,StarTrekMovies_15963069891710,https://public.tableau.com/app/profile/alison.pitt,United States,California,Irvine
Office of the Inspector General,False,2019-05-01,californiaoig,0,0,30,30,2021-10-29,State of California,,Independent Prison Oversight. #oig #prisonoversight #prison #California ,,https://public.tableau.com/app/profile/californiaoig,United States,California,
Andrea Hightower,False,2021-03-01,andrea.hightower,1,0,0,0,,State of California,,,,https://public.tableau.com/app/profile/andrea.hightower,United States,California,
CPOC Research,False,2019-01-01,chief.probation.officers.of.california,0,0,40,0,2019-01-06,Chief Probation Officers of California,,,,https://public.tableau.com/app/profile/chief.probation.officers.of.california,United States,California,Sacramento
CA Open Data,False,2017-02-01,ca.open.data,0,394,83,0,2021-11-11,CA Department of Technology,,,,https://public.tableau.com/app/profile/ca.open.data,United States,California,Sacramento
Leigh Fonseca,False,,missleigh,32,57,122,13,2018-08-27,livingdata,,,USFruitConsumption,https://public.tableau.com/app/profile/missleigh,United States,California,Sausalito
Greg,False,2017-11-01,gregmurray,3,12,60,6,2021-08-15,,,,TheJourneyoftheWorm,https://public.tableau.com/app/profile/gregmurray,,,
Alejandro Martínez Vargas,False,2015-03-01,alex8425,9,53,190,22,2021-01-23,,,,25YearsofUEFAChampionsLeague,https://public.tableau.com/app/profile/alex8425,United States,California,San Francisco
Maria-Alexandra Ilie,False,2019-03-01,maria.alexandra.ilie,25,29,96,13,2020-03-22,,,,Strangerthings,https://public.tableau.com/app/profile/maria.alexandra.ilie,United States,California,
Shreyas Dhande,False,2019-06-01,shreyas.dhande,3,2,12,5,2020-11-03,University of Southern California,,,,https://public.tableau.com/app/profile/shreyas.dhande,United States,California,Los Angeles
